HELPER,class,team
bob gonzales04/10/2009alexandria- va,2027,BAL
bob goode02/26/2009milwaukee- wi,2027,STL
bob hill01/26/2005waimalu- hi,2027,NYM
bob kennedy08/10/2004san diego- ca,2027,KC
bob luttrell07/16/2005kettering- md,2027,NYY
bob macnamara09/01/2004marion- oh,2027,UNSIGNED
bob mayes09/20/2009robinwood- md,2027,HOU
bob mckinley02/17/2005chula vista- ca,2027,UNSIGNED
bob melton04/27/2008endicott- ny,2027,COL
bob miles12/15/2008vivian- la,2027,CHC
bob moore02/21/2009west covina- ca,2027,LAA
bob moore07/27/2004boyes hot springs- ca,2027,NYY
bob patrick09/26/2005san luis obispo- ca,2027,MIL
bob pinto01/31/2009columbus- ga,2027,PHI
bob rigney06/15/2008los angeles- ca,2027,BOS
bob sanderson04/26/2005portland- or,2027,UNSIGNED
bob sims07/17/2004palm springs- ca,2027,CLE
bob vincent12/12/2008chicago- il,2027,UNSIGNED
bob wright10/10/2008bloomington- il,2027,NYM
bobby brown03/17/2004columbiana- oh,2027,NYY
bobby burton12/07/2004simi valley- ca,2027,UNSIGNED
bobby campbell02/23/2009longmont- co,2027,CHC
bobby carr01/29/2006charles town- wv,2027,UNSIGNED
bobby clark05/01/2006pasadena- tx,2027,DET
bobby cooper04/27/2009albuquerque- nm,2027,CIN
bobby haas08/30/2008west salem- wi,2027,UNSIGNED
bobby padilla09/07/2008los angeles- ca,2027,BOS
bobby perkins07/08/2008seattle- wa,2027,NYM
bobby revet11/30/2008haarlemmermeer- noo,2027,UNSIGNED
bobby reynolds12/22/2005largo- fl,2027,ATL
bobby varnell10/15/2004saginaw- mi,2027,SEA
bobby whitaker01/30/2009spring hill- tn,2027,PHI
brad burgess06/25/2005curtisville- pa,2027,PIT
brad greer05/31/2009glen burnie- md,2027,PHI
brad massey06/21/2004andrews- tx,2027,UNSIGNED
brad pratt07/15/2003sussex- wi,2027,TB
brad schmidt03/09/2004tacoma- wa,2027,PHI
brad talbot12/06/2006conehatta- ms,2027,MIA
brad taylor05/04/2008bridgeport- ct,2027,UNSIGNED
brendan cummins09/04/2006allen- tx,2027,CHC
bret morgan07/04/2005westbury- ny,2027,OAK
bret thompson12/17/2007tulsa- ok,2027,UNSIGNED
brit thomas04/16/2009boynton beach- fl,2027,HOU
bruno polk10/29/2006brooklyn- ny,2027,NYM
bud stone06/03/2008arlington- tx,2027,MIN
buddy cain04/27/2007westminster- co,2027,CWS
cal gilmore11/28/2007jacksonville- fl,2027,LAA
cale guthrie04/20/2006deerfield beach- fl,2027,UNSIGNED
carlos bell05/05/2009harrisonburg- va,2027,UNSIGNED
carlos s. adams11/18/2004paradise- nv,2027,COL
chad bennett07/23/2008foley- al,2027,DET
chad clark11/01/2008san antonio- tx,2027,BOS
chad downey06/27/2007columbia- mo,2027,LAA
chad knowles03/08/2006laredo- tx,2027,TB
chad malone01/06/2009escanaba- mi,2027,UNSIGNED
charlie bryan01/27/2006orlando- fl,2027,TOR
charlie galloway03/22/2006spring hill- fl,2027,OAK
charlie jacobson05/07/2004irvine- ca,2027,NYY
charlie martin10/16/2009los ranchos de albuquerque- nm,2027,SD
charlie robinson11/24/2008virginia beach- va,2027,UNSIGNED
charlie thomas06/16/2008plant city- fl,2027,LAD
chet flores01/04/2008aldie- va,2027,ARI
chet massengill12/04/2008midland- tx,2027,KC
chet misner09/20/2005toronto- on,2027,LAA
chip ewing07/29/2008long beach- ca,2027,TEX
chip goodman08/02/2005west odessa- tx,2027,PIT
chris brady01/25/2006kanab- ut,2027,TB
chris buckley09/06/2008north bergen- nj,2027,CHC
chris dixon11/02/2007lakemore- oh,2027,SD
chris feltham03/14/2009calgary- ab,2027,BOS
chris forbes05/02/2009daly city- ca,2027,CIN
chris frank04/13/2006los angeles- ca,2027,ARI
chris grose11/07/2004linden- nj,2027,KC
chris hall06/03/2005gantt- sc,2027,SEA
chris harris08/15/2005carson- ca,2027,SD
chris harrison01/04/2005jacksonville- ar,2027,UNSIGNED
chris huffman05/30/2008warwick- ri,2027,LAA
chris jensen07/20/2004ft. collins- co,2027,CHC
chris jones02/22/2006redstone arsenal- al,2027,CWS
chris kelly01/04/2009levittown- pa,2027,UNSIGNED
chris kent06/20/2005lexington- nc,2027,PHI
chris knight03/02/2005grand rapids- mi,2027,BAL
chris lambert12/25/2005concord- nh,2027,TB
chris mccarthy07/23/2008bogota- nj,2027,UNSIGNED
chris neal03/03/2008newark- nj,2027,UNSIGNED
chris norman05/16/2007lawrence- ks,2027,MIA
chris palmer03/03/2009montebello- ca,2027,UNSIGNED
chris payne10/26/2008new york- ny,2027,PIT
chris picot08/29/2006new orleans- la,2027,KC
chris rivera04/20/2006hialeah- fl,2027,UNSIGNED
chris roach10/18/2008muskegon- mi,2027,UNSIGNED
chris robertson01/15/2005phoenix- az,2027,BOS
chris schneider09/06/2005raleigh- nc,2027,BAL
chris shepard09/24/2006stoughton- ma,2027,UNSIGNED
chris short01/22/2009fridley- mn,2027,MIN
chris strickland02/11/2009los angeles- ca,2027,SEA
chris thomas05/19/2009amherst- ma,2027,UNSIGNED
chris todd07/29/2008albuquerque- nm,2027,PIT
chris townsend03/07/2004troy- ny,2027,WAS
chris werner09/04/2008portland- or,2027,MIA
chuck mcdonald08/06/2005mesquite- tx,2027,SD
chuck robinson11/23/2005lincoln- ca,2027,LAD
cipriano palacios05/13/2009white meadow lake- nj,2027,UNSIGNED
clarence caruthers10/17/2008los angeles- ca,2027,UNSIGNED
clarence harris11/26/2008brunswick- oh,2027,CIN
clarence ray01/15/2009draper- ut,2027,UNSIGNED
clarence stokes08/06/2005watertown- ct,2027,NYY
claude cox06/30/2005timberwood park- tx,2027,CIN
claude romero01/07/2007audubon- nj,2027,PHI
cliff campbell12/04/2008norwalk- ca,2027,TB
cliff piper03/18/2005baltimore- md,2027,WAS
cliff simmons07/05/2007colesville- md,2027,TEX
cliff stone06/11/2004arthur- il,2027,CHC
cliff woods08/31/2008new york- ny,2027,UNSIGNED
clint edwards07/29/2005charlotte- nc,2027,TOR
colt christensen12/12/2008new york- ny,2027,UNSIGNED
connor mcilwraith12/21/2006eugene- or,2027,CWS
coy hogan01/24/2004anaheim- ca,2027,ATL
cris villalobos06/29/2004mayaguez- may,2027,SEA
cristian castiblanca09/16/2003la porte- tx,2027,UNSIGNED
cristian jimenez07/31/2009watchung- nj,2027,CHC
cristo rivera08/24/2005san juan- san,2027,UNSIGNED
cristobal martinez06/18/2005brecksville- oh,2027,LAA
curt banks02/26/2006port charlotte- fl,2027,KC
curt elliott10/18/2005wyckoff- nj,2027,LAA
curt harrison06/22/2008greensboro- nc,2027,TOR
cy molina04/27/2004brooklyn- ny,2027,CLE
cesar flores02/19/2005tampa- fl,2027,STL
cesar ortega04/19/2007ft. myers- fl,2027,HOU
damian corbin11/09/2008camp pendleton north- ca,2027,HOU
dan baldwin06/14/2008rockwall- tx,2027,WAS
dan butler11/10/2008flint- mi,2027,NYM
dan campbell03/19/2006nashville- tn,2027,CIN
dan cummins07/19/2005chicago- il,2027,OAK
dan dalton10/31/2004hartselle- al,2027,DET
dan frost07/31/2007philadelphia- pa,2027,CIN
dan gray01/02/2006pittsfield- ma,2027,ARI
dan grimes09/03/2008burlington- ma,2027,UNSIGNED
dan hannah04/25/2008new york- ny,2027,DET
dan harlow12/08/2004strathmore- ab,2027,KC
dan johnston04/22/2007new york- ny,2027,NYM
dan johnston05/25/2004east los angeles- ca,2027,CWS
dan kaiser01/06/2009san francisco- ca,2027,UNSIGNED
dan lerwill03/07/2009baldwin park- ca,2027,NYY
dan lewis07/28/2009kansas city- mo,2027,UNSIGNED
dan mahoney06/02/2007columbus- oh,2027,TOR
dan music06/14/2006richmond- bc,2027,UNSIGNED
dan palmer04/15/2006norton shores- mi,2027,LAD
dan petersen03/10/2009houston- tx,2027,STL
dan reed04/03/2005philadelphia- pa,2027,NYY
dan rhodes05/07/2006leisure city- fl,2027,TEX
dan sweeny03/06/2006joliet- il,2027,PIT
dan teselli01/10/2008sheboygan- wi,2027,ARI
dan turner01/04/2007whittier- ca,2027,ATL
dan turner06/21/2008los angeles- ca,2027,ARI
dan wiggins04/17/2009brooklyn- ny,2027,PHI
dan alvarez09/05/2005east merrimack- nh,2027,OAK
dana hunter04/25/2006downey- ca,2027,SD
dana webb04/29/2009cedar rapids- ia,2027,BOS
dani padilla02/16/2006paterson- nj,2027,UNSIGNED
daniel jaramillo06/24/2008waterville- me,2027,HOU
daniel o'malley01/31/2009london- on,2027,UNSIGNED
daniel rodriguez07/18/2008sellersburg- in,2027,UNSIGNED
danny barber05/07/2005port chester- ny,2027,BAL
danny dickerson05/12/2009killeen- tx,2027,UNSIGNED
danny duncan11/02/2005san diego- ca,2027,DET
danny farley07/17/2008surprise- az,2027,CHC
danny gibson03/29/2006douglas- az,2027,BAL
danny gibson06/14/2009milan- tn,2027,MIA
danny hull04/13/2008columbus- ga,2027,NYY
danny james08/07/2004taylor- mi,2027,MIA
danny simpson06/21/2008skokie- il,2027,TEX
danny turner04/25/2008milwaukee- wi,2027,UNSIGNED
dardan kraja03/30/2009parsippany-troy hills township- nj,2027,UNSIGNED
darrel bailey10/29/2008albany- ca,2027,COL
darrell bennett01/02/2005midland- mi,2027,PHI
darrell horton11/21/2008burton- mi,2027,ATL
darrell martin03/15/2008houston- tx,2027,UNSIGNED
darrell moore07/23/2008drexel hill- pa,2027,TOR
darren anderson08/29/2008andover- mn,2027,MIN
darren williams08/27/2008annandale- va,2027,TOR
darsanapala kaith05/29/2008frederick- md,2027,COL
daryl o'rothan09/10/2008esperance- wa,2027,COL
dave beaumond01/16/2009quebec city- qc,2027,ATL
dave booker05/09/2008tucson- az,2027,MIA
dave brown10/23/2008parma- oh,2027,STL
dave cross09/08/2008los angeles- ca,2027,SEA
dave davis03/16/2009virginia beach- va,2027,NYY
dave fisher11/14/2004rochester- mn,2027,BOS
dave gunther09/27/2004groton- ct,2027,LAD
dave hall10/22/2008st. charles- il,2027,BOS
dave hunt02/18/2009bourbonnais- il,2027,CHC
dave jacobson10/23/2006riverside- ca,2027,UNSIGNED
dave lewis01/12/2009san jose- ca,2027,CLE
dave mckenzie05/18/2008parma- oh,2027,MIA
dave moore04/08/2009houston- tx,2027,BOS
dave numbers11/04/2008grafton- wi,2027,NYM
dave parker04/16/2008dexter- mo,2027,CWS
dave perez04/28/2005pittsburgh- pa,2027,LAA
dave richard04/17/2009gulfport- ms,2027,CHC
dave wise03/06/2007fernandina beach- fl,2027,KC
david cantu10/21/2005midland- tx,2027,PHI
david marquis05/10/2006memphis- tn,2027,PHI
david normore03/14/2009toronto- on,2027,NYY
dennis spotton07/23/2003toronto- on,2027,MIA
derek hall12/13/2008woodcrest- ca,2027,SEA
derek hodge03/26/2005las vegas- nv,2027,CIN
derek hutchinson09/16/2004burleson- tx,2027,TEX
derek jennings03/14/2009tulsa- ok,2027,WAS
derek keller06/15/2006amarillo- tx,2027,PIT
derek vaughan12/03/2008mitchell- in,2027,CIN
derk mccall01/27/2008sioux falls- sd,2027,UNSIGNED
deron patterson04/15/2008lake forest- ca,2027,TOR
derrek holden02/28/2008new york- ny,2027,BOS
desi williams01/22/2009suffern- ny,2027,UNSIGNED
devin dotson03/27/2007cliffside park- nj,2027,LAA
devin terry05/29/2005tallahassee- fl,2027,TOR
dominic callahan02/04/2009sunnyvale- ca,2027,UNSIGNED
dominic stinson01/23/2009wheaton-glenmont- md,2027,UNSIGNED
don bailey09/22/2008concord- ca,2027,UNSIGNED
don bauer03/25/2005east lake- fl,2027,LAA
don best07/09/2008rockville- md,2027,MIN
don green05/19/2009columbia heights- mn,2027,PHI
don smart07/10/2005indianapolis- in,2027,PIT
don stanley09/21/2008piedmont- sc,2027,HOU
don taylor11/25/2006ewa beach- hi,2027,CIN
donnie galloway07/17/2004new york- ny,2027,NYY
donnie perez01/10/2008east hartford- ct,2027,BAL
dorian cano10/07/2003wintersville- oh,2027,WAS
doug clay03/23/2004hampton- ia,2027,PHI
doug foster04/14/2005pueblo- co,2027,UNSIGNED
doug gardner08/11/2008mckinleyville- ca,2027,TOR
doug jenkins12/27/2006middletown (dauphin county)- pa,2027,NYY
doug lewis10/12/2006woods cross- ut,2027,BAL
doug macdonald03/15/2009rehoboth- ma,2027,UNSIGNED
doug miller08/24/2005wichita- ks,2027,PHI
doug o'neal08/08/2008tewksbury- ma,2027,TOR
doug reese09/02/2004ajo- az,2027,CLE
doug williams02/11/2009forestville- oh,2027,CWS
duane murphy11/27/2008hawthorne- ca,2027,CLE
dustin sweetapple07/01/2005markham- on,2027,STL
dusty jones11/21/2005hamden- ct,2027,BAL
dusty shaw11/24/2004lebanon- or,2027,UNSIGNED
dusty silver11/20/2006wayne- nj,2027,DET
dwayne dean08/18/2008ayden- nc,2027,ATL
dylan baker12/28/2008columbus- oh,2027,UNSIGNED
dylan barlow03/26/2009longueuil- qc,2027,MIL
earl bannerman11/29/2008st. catharines- on,2027,UNSIGNED
ed barrington05/13/2008lexington- ky,2027,TOR
ed brady01/01/2008calcutta- oh,2027,TOR
ed butler09/14/2005west sacramento- ca,2027,SF
ed chapman07/29/2008milo- me,2027,UNSIGNED
ed cox07/07/2008palisades park- nj,2027,ATL
ed everett06/16/2005detroit- mi,2027,KC
ed holmes05/07/2005whittier- ca,2027,SEA
ed hull04/04/2007san jose- ca,2027,BAL
ed hunter08/20/2008buffalo- ny,2027,COL
ed knight12/10/2004socorro- tx,2027,TB
ed larson10/31/2005alexandria- ky,2027,SF
ed mccawley06/21/2005yorba linda- ca,2027,UNSIGNED
ed mills01/23/2007glens falls- ny,2027,PIT
ed short10/05/2009kittitas- wa,2027,CHC
ed stanford05/04/2005greenfield- wi,2027,TB
ed stephens12/14/2005lackawanna- ny,2027,WAS
ed whittier07/05/2008tukwila- wa,2027,CWS
eddie wallace05/20/2009chicago- il,2027,COL
edgar caballero09/04/2007lake mack-forest hills- fl,2027,MIA
edwin stewart04/23/2008newburgh- ny,2027,BOS
elijah jones11/23/2008dallas- tx,2027,UNSIGNED
elton gregory09/15/2008atoka- tn,2027,NYM
enjar stenger08/13/2008chicago- il,2027,BAL
enrico hernandez12/08/2008ponce- pon,2027,TOR
enrico perez01/30/2006memphis- tn,2027,SEA
eric archer01/13/2005wabasha- mn,2027,ATL
eric clark10/01/2008milwaukee- wi,2027,UNSIGNED
eric hunter01/08/2006rosemead- ca,2027,STL
eric macfadden04/28/2005elgin- tx,2027,WAS
eric mcconnell06/16/2008cedar rapids- ia,2027,CIN
eric rebow05/31/2007skokie- il,2027,SD
eric slaughter10/19/2005ft. worth- tx,2027,PIT
eric smith11/07/2006lutz- fl,2027,LAA
eric sullivan03/30/2006hollywood- fl,2027,CLE
eric thomason01/03/2004dallas- tx,2027,COL
eric washington07/23/2008edinburg- tx,2027,MIN
eric wilson07/17/2008lowell- ma,2027,UNSIGNED
erik mclean08/30/2008columbia- tn,2027,TEX
ernesto gonzalez12/17/2008pawtucket- ri,2027,MIA
ernesto menendez12/05/2005canovanas- car,2027,LAA
ernesto silva03/27/2006dover- tn,2027,UNSIGNED
ernesto alvarez01/29/2006san juan- san,2027,HOU
ernie powell05/15/2009temecula- ca,2027,ATL
ernie simmons08/18/2008troutdale- or,2027,CLE
ernie tompsett01/24/2009parkway-south sacramento- ca,2027,CWS
ernie vanmeter12/11/2006olathe- ks,2027,CHC
esteban garcia04/11/2006aibonito- gua,2027,LAA
esteban martinez08/18/2009haverhill- fl,2027,OAK
esteban sanchez05/21/2009la quinta- ca,2027,UNSIGNED
ethan farr08/14/2009houston- tx,2027,NYM
ethan schneider08/23/2008glendale- az,2027,LAA
freddie daniel06/04/2005derby- ks,2027,PIT
freddy robbins03/08/2006san antonio- tx,2027,MIN
gabe rogers12/23/2004columbus- oh,2027,BOS
garry rodriguez04/12/2004brooklyn- ny,2027,BOS
gene lambert04/21/2009cleveland- oh,2027,TEX
gene rogers02/20/2007beaverton- or,2027,STL
geoff poole03/30/2008new york- ny,2027,LAD
geoffrey pope02/17/2009belle glade- fl,2027,SD
gerd strauss05/20/2007frankfurt- hes,2027,WAS
gil gibson08/22/2008stonybrook-wilshire- pa,2027,UNSIGNED
glen spencer03/26/2006los angeles- ca,2027,ATL
greg bentley02/18/2006westerly- ri,2027,ARI
greg camp02/17/2008ridgeland- ms,2027,UNSIGNED
greg cook11/25/2008new durham- nh,2027,CLE
greg crockett03/20/2009los angeles- ca,2027,COL
greg hatcher01/22/2006orem- ut,2027,SF
greg jordan04/27/2005wadsworth- oh,2027,DET
greg miller02/01/2006albuquerque- nm,2027,PIT
greg moore03/19/2008hobart- ok,2027,BAL
greg newman10/01/2008irvington- nj,2027,COL
greg norton02/05/2009big rapids- mi,2027,TB
greg shelton02/02/2004mexia- tx,2027,UNSIGNED
gus walker02/04/2006copiague- ny,2027,UNSIGNED
hamza faruq08/03/2009salinas- ca,2027,NYY
herman groves01/20/2004ottawa- on,2027,BAL
herson toquera12/17/2004baton rouge- la,2027,TEX
herst dickerson02/24/2009springfield- ma,2027,UNSIGNED
horace cook09/21/2005chicago- il,2027,TOR
hector guzman12/13/2008lexington- ky,2027,UNSIGNED
hector pina07/26/2008detroit- mi,2027,KC
hector romano01/09/2005ft. wayne- in,2027,PIT
igme gilcrist02/06/2008wailea-makena- hi,2027,SF
ilia enden06/13/2004sunnyvale- ca,2027,ARI
ilir vulaj08/29/2008bastrop- la,2027,CHC
ira corrigan03/09/2005nashville- tn,2027,TEX
ismael andres08/05/2008nashua- nh,2027,UNSIGNED
ismael cruz07/12/2006radford- va,2027,NYM
ismael silva06/22/2005mayaguez- may,2027,KC
ivan aguilar10/27/2005red chute- la,2027,SEA
ivan perez06/03/2006riverside- ca,2027,STL
ivan zavala07/12/2004savannah- ga,2027,SF
j.j. pope08/26/2009lancaster- ca,2027,NYM
j.j. porter05/27/2009simi valley- ca,2027,CHC
j.r. jones05/07/2005san luis obispo- ca,2027,BAL
jake bannatyne09/29/2005thomasville- al,2027,WAS
jake goldsmith02/28/2009saguenay- qc,2027,UNSIGNED
jake hardin04/20/2008tacoma- wa,2027,CWS
jake hogan06/12/2005el paso- tx,2027,CHC
jake robinson05/26/2007detroit- mi,2027,CIN
jake rowland07/22/2009garland- tx,2027,MIL
jake taylor08/20/2005clovis- nm,2027,COL
jake turner06/24/2005haverhill- ma,2027,NYY
jamie gore01/13/2005morton grove- il,2027,TB
jamie hill12/04/2008philadelphia- pa,2027,UNSIGNED
jamie ocasio09/16/2005malibu- ca,2027,BOS
jamie plummer03/10/2009corpus christi- tx,2027,TEX
jared kingsnorth03/04/2009wheaton- il,2027,UNSIGNED
jared lee07/18/2004new york- ny,2027,BAL
jared meyer01/24/2006scranton- pa,2027,COL
jared watson05/13/2009brooklyn- ny,2027,UNSIGNED
jared wilson08/12/2004new york- ny,2027,OAK
jarkko turunen06/21/2005aberdeen- wa,2027,UNSIGNED
jarrod wagner04/30/2004pacifica- ca,2027,BOS
jean-pierre noel10/26/2008markham- on,2027,NYM
jeff bates05/09/2005palmetto estates- fl,2027,CHC
jeff bennett09/12/2008schaumburg- il,2027,NYY
jeff burton12/03/2006levittown- ny,2027,CIN
jeff cooper08/01/2006philadelphia- pa,2027,OAK
jeff ellenbecker12/30/2004shreveport- la,2027,CWS
jeff graham06/13/2008pequannock township- nj,2027,NYY
jeff hansen05/12/2006east bethel- mn,2027,SF
jeff johnson08/01/2004virginia beach- va,2027,WAS
jeff jordan12/20/2008pensacola- fl,2027,LAD
jeff kellam06/18/2004weston- fl,2027,LAA
jeff knapp06/09/2008elizabeth- nj,2027,PIT
jeff lowe01/14/2004muncie- in,2027,MIA
jeff miller05/22/2004clackamas- or,2027,SF
jeff miller11/07/2005apache junction- az,2027,CLE
jeff mitchell02/11/2008laurence harbor- nj,2027,UNSIGNED
jeff porter04/14/2009kermit- tx,2027,MIA
jeff potts09/06/2008drexel heights- az,2027,SF
jeff reed04/22/2005richmond- ut,2027,ATL
jeff russell03/31/2005augusta- ga,2027,TOR
jeff rutherford01/13/2009carrollton- ga,2027,MIA
jeff ryan01/14/2007colorado springs- co,2027,PIT
jeff schaefer04/13/2004evansville- in,2027,MIA
jeff shannon09/09/2004houston- tx,2027,UNSIGNED
jeff smith04/05/2006miramar- fl,2027,ARI
jeff sparks06/18/2008lionville-marchwood- pa,2027,UNSIGNED
jeff tate07/19/2009port chester- ny,2027,BOS
jeff thornton03/17/2008orlando- fl,2027,DET
jeff walker07/04/2005uvalde- tx,2027,TB
jeff ward11/08/2005endwell- ny,2027,STL
jeff white09/11/2005new york- ny,2027,UNSIGNED
jeff wile07/07/2008pharr- tx,2027,PIT
jeff wilson11/09/2008yucca valley- ca,2027,NYM
jeff woods07/25/2008houston- tx,2027,UNSIGNED
jeremiah elkins02/19/2008stillman valley- il,2027,ATL
jeremiah hull04/24/2007mineral wells- tx,2027,LAA
jeremiah avila05/24/2007rochester- mn,2027,DET
jeremy bowling01/20/2006grand rapids- mi,2027,SEA
jeremy george10/16/2008lubbock- tx,2027,NYM
jeremy gunter01/12/2009robbinsville township- nj,2027,UNSIGNED
jeremy mullins04/03/2006aurora- co,2027,WAS
jeremy myers08/09/2006oklahoma city- ok,2027,COL
jeremy parker11/24/2005montgomery village- md,2027,SEA
jeremy robertson03/30/2008compton- ca,2027,WAS
jerry carrillo09/16/2008trenton- nj,2027,TB
jerry clark09/07/2004new york- ny,2027,ATL
jerry davis08/19/2008mesa- az,2027,HOU
jerry gibbon03/10/2009candiac- qc,2027,UNSIGNED
jerry gibson11/27/2008northbrook- il,2027,UNSIGNED
jerry locke07/04/2005bel air south- md,2027,WAS
jerry roscoe03/14/2009dallas- tx,2027,UNSIGNED
jerry wright11/06/2005watertown- ma,2027,SD
jesus andina09/28/2008warner robins- ga,2027,UNSIGNED
jesus castillo01/20/2005camden- nj,2027,UNSIGNED
jesus castillo05/20/2008pompano beach- fl,2027,CWS
jesus cruz08/26/2006franklin- tn,2027,KC
jesus gomez03/10/2004phoenix- az,2027,KC
jesus marin08/17/2004penrose- co,2027,DET
jesus perez06/30/2005sulphur- la,2027,WAS
jesus perez12/07/2007lake oswego- or,2027,BOS
jesus santana07/27/2005san juan- san,2027,MIA
jim atkins03/02/2006howard- wi,2027,COL
jim brewer06/03/2008mehlville- mo,2027,BOS
jim carter02/06/2004oakland park- fl,2027,DET
jim chapman04/13/2005pleasure ridge park- ky,2027,MIL
jim crawford09/14/2008brooklyn- ny,2027,OAK
jim fairchild10/04/2004olathe- ks,2027,WAS
jim fraser02/25/2007tavares- fl,2027,HOU
jim george08/11/2008philadelphia- pa,2027,MIN
jim gillespie07/28/2004south houston- tx,2027,MIA
jim gove05/09/2007portland- or,2027,UNSIGNED
jim gregory09/14/2008downey- ca,2027,SEA
jim holbrook09/25/2006new york- ny,2027,BAL
jim jensen03/19/2006long beach- ny,2027,ARI
jim john08/06/2005mansfield- ar,2027,WAS
jim lee03/12/2009weatherford- tx,2027,NYY
jim mapes08/15/2004clarksville- tn,2027,BOS
jim martin07/23/2005croydon- pa,2027,PIT
jim mcauley09/28/2004the woodlands- tx,2027,BOS
jim michael02/10/2005joppatowne- md,2027,WAS
jim mifflin04/24/2006grand centre- ab,2027,KC
jim parker08/20/2008lewiston- me,2027,OAK
jim perkins07/10/2007aldine- tx,2027,MIA
jim quintana05/18/2009new york- ny,2027,LAD
